Gene
216248_s_at
208869_s_at
204622_x_at
244054_at
208868_s_at
203574_at
240103_at
203888_at
204621_s_at
218559_s_at
222934_s_at
203887_s_at
241279_at
204908_s_at
205863_at
210423_s_at
1555167_s_at
211372_s_at
217202_s_at
220034_at
205403_at
203821_at
205067_at
1568830_at
210146_x_at
204620_s_at
205239_at
201963_at
205476_at
216015_s_at
39402_at
244840_x_at
209774_x_at
221731_x_at
211302_s_at
207275_s_at
210845_s_at
211924_s_at
232213_at
1558299_at
37028_at
209959_at
204351_at
215990_s_at
38037_at
204232_at
219434_at
224836_at
203853_s_at
240038_at
